date,sales
2024-01-01,120
2024-01-02,135
2024-01-03,110
2024-01-04,145
2024-01-05,130
2024-01-06,150
2024-01-07,140
2024-01-08,125
2024-01-09,160
2024-01-10,155
2024-01-11,170
2024-01-12,165
2024-01-13,180
2024-01-14,175
2024-01-15,190
2024-01-16,185
2024-01-17,200
2024-01-18,195
2024-01-19,210
2024-01-20,205
2024-01-21,220
2024-01-22,215
2024-01-23,230
2024-01-24,225
2024-01-25,240
2024-01-26,235
2024-01-27,250
2024-01-28,245
2024-01-29,260
2024-01-30,255
2024-01-31,270
2024-02-01,265
2024-02-02,280
2024-02-03,275
2024-02-04,290
2024-02-05,285
2024-02-06,300
2024-02-07,295
2024-02-08,310
2024-02-09,305
2024-02-10,320
2024-02-11,315
2024-02-12,330
2024-02-13,325
2024-02-14,340
2024-02-15,335
2024-02-16,350
2024-02-17,345
2024-02-18,360
2024-02-19,355
2024-02-20,370
2024-02-21,365
2024-02-22,380
2024-02-23,375
2024-02-24,390
2024-02-25,385
2024-02-26,400
2024-02-27,395
2024-02-28,410
2024-02-29,405
2024-03-01,420
2024-03-02,415
2024-03-03,430
2024-03-04,425
2024-03-05,440
2024-03-06,435
2024-03-07,450
2024-03-08,445
2024-03-09,460
2024-03-10,455
2024-03-11,470
2024-03-12,465
2024-03-13,480
2024-03-14,475
2024-03-15,490
2024-03-16,485
2024-03-17,500
2024-03-18,495
2024-03-19,510
2024-03-20,505
2024-03-21,520
2024-03-22,515
2024-03-23,530
2024-03-24,525
2024-03-25,540
2024-03-26,535
2024-03-27,550
2024-03-28,545
2024-03-29,560
2024-03-30,555
2024-03-31,570
