Date,Sales
2010-01-01,57.45
2010-01-02,64.3
2010-01-03,80.69
2010-01-04,83.74
2010-01-05,40.76
2010-01-06,30.68
2010-01-07,62.48
2010-01-08,66.67
2010-01-09,64.49
2010-01-10,84.26
2010-01-11,59.08
2010-01-12,42.42
2010-01-13,42.94
2010-01-14,15.19
2010-01-15,34.37
2010-01-16,68.17
2010-01-17,65.98
2010-01-18,75.78
2010-01-19,40.8
2010-01-20,23.12
2010-01-21,70.85
2010-01-22,61.81
2010-01-23,82.54
2010-01-24,64.7
2010-01-25,67.77
2010-01-26,60.92
2010-01-27,31.85
2010-01-28,59.28
2010-01-29,60.93
2010-01-30,81.86
2010-01-31,81.72
2010-02-01,108.36
2010-02-02,63.66
2010-02-03,37.81
2010-02-04,70.5
2010-02-05,56.11
2010-02-06,93.8
2010-02-07,65.74
2010-02-08,64.99
2010-02-09,71.11
2010-02-10,69.0
2010-02-11,64.93
2010-02-12,76.83
2010-02-13,90.25
2010-02-14,77.0
2010-02-15,78.11
2010-02-16,65.18
2010-02-17,77.65
2010-02-18,71.33
2010-02-19,55.88
2010-02-20,103.33
2010-02-21,97.05
2010-02-22,82.34
2010-02-23,84.79
2010-02-24,80.72
2010-02-25,83.54
2010-02-26,73.07
2010-02-27,97.1
2010-02-28,110.99
2010-03-01,110.25
2010-03-02,71.49
2010-03-03,65.47
2010-03-04,55.9
2010-03-05,70.57
2010-03-06,116.7
2010-03-07,129.08
2010-03-08,97.18
2010-03-09,96.29
2010-03-10,76.17
2010-03-11,65.24
2010-03-12,96.28
2010-03-13,129.85
2010-03-14,110.39
2010-03-15,123.84
2010-03-16,43.98
2010-03-17,85.03
2010-03-18,78.1
2010-03-19,88.17
2010-03-20,109.88
2010-03-21,82.75
2010-03-22,98.64
2010-03-23,90.11
2010-03-24,96.26
2010-03-25,70.34
2010-03-26,81.76
2010-03-27,102.13
2010-03-28,127.37
2010-03-29,107.85
2010-03-30,77.71
2010-03-31,82.62
2010-04-01,80.31
2010-04-02,109.08
2010-04-03,99.7
2010-04-04,109.22
2010-04-05,97.45
2010-04-06,64.04
2010-04-07,79.61
2010-04-08,82.93
2010-04-09,94.71
2010-04-10,106.71
2010-04-11,92.82
2010-04-12,96.86
2010-04-13,80.6
2010-04-14,62.8
2010-04-15,76.19
2010-04-16,100.2
2010-04-17,137.95
2010-04-18,116.01
2010-04-19,106.29
2010-04-20,83.8
2010-04-21,45.16
2010-04-22,77.23
2010-04-23,93.98
2010-04-24,145.47
2010-04-25,109.29
2010-04-26,105.66
2010-04-27,83.03
2010-04-28,54.96
2010-04-29,93.24
2010-04-30,102.75
2010-05-01,118.7
2010-05-02,96.78
2010-05-03,120.35
2010-05-04,60.62
2010-05-05,79.32
2010-05-06,106.91
2010-05-07,74.5
2010-05-08,96.15
2010-05-09,109.65
2010-05-10,89.42
2010-05-11,55.99
2010-05-12,69.08
2010-05-13,55.59
2010-05-14,93.86
2010-05-15,88.2
2010-05-16,128.68
2010-05-17,82.44
2010-05-18,71.57
2010-05-19,77.34
2010-05-20,50.08
2010-05-21,87.14
2010-05-22,118.5
2010-05-23,78.17
2010-05-24,93.75
2010-05-25,77.03
2010-05-26,73.55
2010-05-27,46.62
2010-05-28,60.5
2010-05-29,103.25
2010-05-30,103.21
2010-05-31,91.17
2010-06-01,74.71
2010-06-02,47.95
2010-06-03,64.95
2010-06-04,80.94
2010-06-05,80.91
2010-06-06,122.91
2010-06-07,90.64
2010-06-08,47.73
2010-06-09,64.04
2010-06-10,42.85
2010-06-11,84.33
2010-06-12,104.94
2010-06-13,78.52
