Date,Sales,ProductCategory,Region,Quantity,UnitPrice,CustomerSegment,MarketingSpend,IsPromotion,WebsiteTraffic,ConversionRate
2010-01-01,57.45,Electronics,North America,18,3.19,Enterprise,2500,0,8500,2.1
2010-01-02,64.3,Apparel,Europe,22,2.92,SMB,1800,0,9200,2.3
2010-01-03,80.69,Home,APAC,28,2.88,Enterprise,3200,1,11200,2.8
2010-01-04,83.74,Electronics,North America,26,3.22,SMB,2800,1,10100,3.1
2010-01-05,40.76,Apparel,North America,15,2.72,Consumer,1200,0,5600,1.8
2010-01-06,30.68,Home,Europe,12,2.56,Consumer,900,0,4200,1.5
2010-01-07,62.48,Electronics,APAC,20,3.12,SMB,2100,0,8900,2.2
2010-01-08,66.67,Apparel,Europe,23,2.89,Enterprise,2400,1,9800,2.5
2010-01-09,64.49,Home,North America,22,2.93,SMB,2200,0,8700,2.4
2010-01-10,84.26,Electronics,APAC,27,3.12,Enterprise,3100,1,10800,3.0
2010-01-11,59.08,Apparel,North America,21,2.81,Consumer,1600,0,7800,2.0
2010-01-12,42.42,Home,Europe,16,2.65,SMB,1400,0,5900,1.9
2010-01-13,42.94,Electronics,North America,14,3.06,Consumer,1500,0,6200,1.7
2010-01-14,15.19,Apparel,APAC,5,3.04,Consumer,600,0,2200,0.9
2010-01-15,34.37,Home,North America,13,2.64,SMB,1100,0,4800,1.4
2010-01-16,68.17,Electronics,Europe,22,3.09,Enterprise,2600,1,9500,2.6
2010-01-17,65.98,Apparel,APAC,24,2.75,SMB,2300,0,8900,2.3
2010-01-18,75.78,Home,North America,26,2.91,Enterprise,2900,1,10200,2.9
2010-01-19,40.8,Electronics,APAC,13,3.14,Consumer,1400,0,5500,1.6
2010-01-20,55.42,Apparel,Europe,19,2.92,SMB,1950,0,7600,2.1
2010-01-21,72.15,Home,North America,25,2.88,Enterprise,2750,1,10000,2.7
2010-01-22,63.89,Electronics,Europe,21,3.04,SMB,2250,0,8800,2.4
2010-01-23,58.76,Apparel,North America,20,2.94,Consumer,1700,0,7500,2.0
2010-01-24,77.43,Home,APAC,27,2.87,SMB,2550,1,10300,2.8
2010-01-25,49.12,Electronics,North America,16,3.07,Consumer,1350,0,6400,1.8
2010-01-26,61.34,Apparel,APAC,22,2.79,Enterprise,2200,0,8200,2.2
2010-01-27,70.88,Home,Europe,24,2.95,SMB,2450,1,9900,2.6
2010-01-28,66.21,Electronics,North America,22,3.01,Enterprise,2600,0,9200,2.5
2010-01-29,48.65,Apparel,Europe,18,2.70,Consumer,1500,0,6700,1.8
2010-01-30,74.19,Home,North America,26,2.85,SMB,2700,1,10100,2.8
2010-01-31,67.42,Electronics,APAC,23,2.93,Consumer,2100,0,8500,2.3
2010-02-01,59.87,Apparel,North America,21,2.85,SMB,1950,0,7800,2.1
2010-02-02,73.56,Home,Europe,25,2.94,Enterprise,2800,1,10200,2.9
2010-02-03,52.31,Electronics,APAC,17,3.08,Consumer,1600,0,6800,1.9
2010-02-04,68.12,Apparel,North America,24,2.84,SMB,2300,1,9100,2.4
2010-02-05,71.45,Home,APAC,25,2.86,Enterprise,2650,0,8900,2.6
2010-02-06,54.78,Electronics,Europe,18,3.05,Consumer,1700,0,6900,1.9
2010-02-07,62.93,Apparel,APAC,22,2.86,Enterprise,2100,0,8200,2.2
2010-02-08,78.34,Home,North America,27,2.90,SMB,2900,1,10400,2.9
2010-02-09,65.61,Electronics,North America,22,2.98,Consumer,2000,0,8600,2.3
2010-02-10,57.82,Apparel,Europe,20,2.89,SMB,1850,0,7400,2.0
